TIME,P,TAVG,PSGA,PSGB,LVPZ,TBLD,RM1,RBLK
3200,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4268.010742
3210,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4281.350586
3220,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4294.69043
3230,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4308.030273
3240,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4321.370117
3250,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4334.709961
3260,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4348.049805
3270,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4361.389648
3280,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4374.729492
3290,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4388.069336
3300,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4401.40918
3310,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4414.749023
3320,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4428.088867
3330,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4441.428711
3340,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4454.768555
3350,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4468.108398
3360,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4481.448242
3370,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4494.788086
3380,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4508.12793
3390,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4521.467773
3400,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4534.807617
3410,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4548.147461
3420,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4561.487305
3430,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4574.827148
3440,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4588.166992
3450,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4601.506836
3460,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4614.84668
3470,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4628.186523
3480,155.4987488,309.9819031,66.98290253,66.98267365,61.67327881,100,0.0011,4641.526367
